epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,365.621,0.65792,0.42012,0.94441,0.95129,0.93333,0.98469,0.75694,0.92155,0.4814,1.08868,8.95213e-05,8.95213e-05,8.95213e-05
90,369.565,0.62616,0.40696,0.93554,0.9351,0.96077,0.98364,0.75254,0.9206,0.48585,1.08816,7.8528e-05,7.8528e-05,7.8528e-05
91,375.153,0.59839,0.3608,0.92296,0.96468,0.91078,0.98116,0.7521,0.91804,0.49428,1.08678,6.8454e-05,6.8454e-05,6.8454e-05
92,379.166,0.56714,0.36729,0.89853,0.96503,0.92021,0.97913,0.75151,0.91446,0.49727,1.08975,5.93093e-05,5.93093e-05,5.93093e-05
93,383.16,0.52821,0.33226,0.8898,0.96492,0.91726,0.97913,0.75673,0.92076,0.49581,1.09475,5.11027e-05,5.11027e-05,5.11027e-05
94,387.189,0.53771,0.32298,0.85995,0.95212,0.93333,0.97913,0.75288,0.92717,0.50079,1.09756,4.38424e-05,4.38424e-05,4.38424e-05
95,391.984,0.56458,0.34453,0.89104,0.93273,0.93333,0.98015,0.75894,0.93523,0.50145,1.10415,3.75356e-05,3.75356e-05,3.75356e-05
96,396.084,0.55927,0.33569,0.89709,0.96527,0.92669,0.97913,0.75359,0.94511,0.50074,1.10633,3.21885e-05,3.21885e-05,3.21885e-05
97,400.184,0.56669,0.33378,0.89818,0.9557,0.93333,0.98051,0.74111,0.95024,0.50215,1.11206,2.78064e-05,2.78064e-05,2.78064e-05
98,404.275,0.56453,0.33246,0.91447,0.96144,0.93333,0.98136,0.74365,0.947,0.49267,1.11195,2.43937e-05,2.43937e-05,2.43937e-05
99,408.451,0.55651,0.32804,0.90085,0.96507,0.92122,0.97913,0.74201,0.94278,0.49127,1.11303,2.19535e-05,2.19535e-05,2.19535e-05
100,412.63,0.54487,0.32513,0.91707,0.96487,0.91593,0.97873,0.74639,0.93729,0.49174,1.11223,2.04885e-05,2.04885e-05,2.04885e-05
